SYSTEM,SITE,ENBID,ENBNAME,SITE_NAME,CID,CELL_NAME,LAT,LONG,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,RM-CBI0341/D,500568,CBI0341-L23,LPN CONDO,42,L23-CBI0341-2D,13.3555,100.9881,10,30,33161,39050,59,520,17
LTE,RM-CBI0341/D,500568,CBI0341-L23,LPN CONDO,43,L23-CBI0341-3D,13.3555,100.9881,10,30,33161,39248,59,520,17
LTE,RM-CBI0360/I,502122,CBI0360B-L23,CENTRAL_CBI,91,L23-CBI0360-1I,13.337988,100.968671,340,30,33162,38852,127,520,17
LTE,RM-CBI0360/I,502122,CBI0360B-L23,CENTRAL_CBI,92,L23-CBI0360-2I,13.337988,100.968671,340,30,33162,39050,127,520,17
LTE,RM-CBI0360/I,502122,CBI0360B-L23,CENTRAL_CBI,93,L23-CBI0360-3I,13.337988,100.968671,340,30,33162,39248,127,520,17
LTE,RM-CBI0925/F,501156,CBI0925-L23,PIBOONBUMPEN DEMONSTRATION SCHOOL ,61,L23-CBI0925-1F,13.2769566,100.9236882,30,30,33162,38852,145,520,17
LTE,RM-CBI0925/F,501156,CBI0925-L23,PIBOONBUMPEN DEMONSTRATION SCHOOL ,62,L23-CBI0925-2F,13.2769566,100.9236882,30,30,33162,39050,145,520,17
LTE,RM-CBI0925/F,501156,CBI0925-L23,PIBOONBUMPEN DEMONSTRATION SCHOOL ,63,L23-CBI0925-3F,13.2769566,100.9236882,30,30,33162,39248,145,520,17
LTE,RM-CBI0586/A,501574,CBI0586-L23,SML_CHONBURI STADIUM_1,11,L23-CBI0586-1A,13.336358,100.956928,320,30,33162,38852,129,520,17
LTE,RM-CBI0586/A,501574,CBI0586-L23,SML_CHONBURI STADIUM_1,12,L23-CBI0586-2A,13.336358,100.956928,320,30,33162,39050,129,520,17
LTE,RM-CBI0586/A,501574,CBI0586-L23,SML_CHONBURI STADIUM_1,13,L23-CBI0586-3A,13.336358,100.956928,320,30,33162,39248,129,520,17
LTE,RM-CBI0586/A,501574,CBI0586-L23,SML_CHONBURI STADIUM_1,21,L23-CBI0586-1B,13.336358,100.956928,90,30,33162,38852,421,520,17
LTE,RM-CBI0586/A,501574,CBI0586-L23,SML_CHONBURI STADIUM_1,23,L23-CBI0586-3B,13.336358,100.956928,90,30,33162,39248,421,520,17
LTE,RM-CBI0586/A,501574,CBI0586-L23,SML_CHONBURI STADIUM_1,31,L23-CBI0586-1C,13.336358,100.956928,200,30,33162,38852,420,520,17
LTE,RM-CBI0586/A,501574,CBI0586-L23,SML_CHONBURI STADIUM_1,32,L23-CBI0586-2C,13.336358,100.956928,200,30,33162,39050,420,520,17
LTE,RM-CBI0586/A,501574,CBI0586-L23,SML_CHONBURI STADIUM_1,33,L23-CBI0586-3C,13.336358,100.956928,200,30,33162,39248,420,520,17
LTE,RM-CBI0586/A,501574,CBI0586-L23,SML_CHONBURI STADIUM_1,41,L23-CBI0586-1D,13.336358,100.956928,260,30,33162,38852,422,520,17
LTE,RM-CBI0586/A,501574,CBI0586-L23,SML_CHONBURI STADIUM_1,42,L23-CBI0586-2D,13.336358,100.956928,260,30,33162,39050,422,520,17
LTE,RM-CBI0586/A,501574,CBI0586-L23,SML_CHONBURI STADIUM_1,43,L23-CBI0586-3D,13.336358,100.956928,260,30,33162,39248,422,520,17
LTE,RM-CBI0592/A,501104,CBI0592-L23,SML_CHONBURI STADIUM_2,11,L23-CBI0592-1A,13.336205,100.95583,30,30,33162,38852,198,520,17
LTE,RM-CBI0592/A,501104,CBI0592-L23,SML_CHONBURI STADIUM_2,12,L23-CBI0592-2A,13.336205,100.95583,30,30,33162,39050,198,520,17
LTE,RM-CBI0592/A,501104,CBI0592-L23,SML_CHONBURI STADIUM_2,13,L23-CBI0592-3A,13.336205,100.95583,30,30,33162,39248,198,520,17
LTE,RM-CBI0592/A,501104,CBI0592-L23,SML_CHONBURI STADIUM_2,21,L23-CBI0592-1B,13.336205,100.95583,90,30,33162,38852,199,520,17
LTE,RM-CBI0592/A,501104,CBI0592-L23,SML_CHONBURI STADIUM_2,22,L23-CBI0592-2B,13.336205,100.95583,90,30,33162,39050,199,520,17
LTE,RM-CBI0592/A,501104,CBI0592-L23,SML_CHONBURI STADIUM_2,23,L23-CBI0592-3B,13.336205,100.95583,90,30,33162,39248,199,520,17
LTE,RM-CBI0592/A,501104,CBI0592-L23,SML_CHONBURI STADIUM_2,31,L23-CBI0592-1C,13.336205,100.95583,150,30,33162,38852,200,520,17
