SYSTEM,SITE,ENBID,ENBNAME,SITE_NAME,CID,CELL_NAME,LAT,LON,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI0966,500091,CBI0966-L23,BANBANGLAMUNG SCHOOL,31,L23-CBI0966-1C,13.04401,100.92922,130,30,33081,38852,162,520,17
LTE,CBI0966,500091,CBI0966-L23,BANBANGLAMUNG SCHOOL,32,L23-CBI0966-2C,13.04401,100.92922,130,30,33081,39050,162,520,17
LTE,CBI0966,500091,CBI0966-L23,BANBANGLAMUNG SCHOOL,33,L23-CBI0966-3C,13.04401,100.92922,130,30,33081,39248,162,520,17
LTE,CBI0982,500539,CBI0982-L23,SRIRACHA LANDMARK,12,L23-CBI0982-2A,13.09966,100.95313,300,30,33091,39050,101,520,17
LTE,CBI0982,500539,CBI0982-L23,SRIRACHA LANDMARK,13,L23-CBI0982-3A,13.09966,100.95313,300,30,33091,39248,101,520,17
LTE,CBI0982,500539,CBI0982-L23,SRIRACHA LANDMARK,11,L23-CBI0982-1A,13.09966,100.95313,300,30,33091,38852,101,520,17
LTE,CBI0982,500539,CBI0982-L23,SRIRACHA LANDMARK,21,L23-CBI0982-1B,13.09966,100.95313,90,30,33091,38852,99,520,17
LTE,CBI0982,500539,CBI0982-L23,SRIRACHA LANDMARK,22,L23-CBI0982-2B,13.09966,100.95313,90,30,33091,39050,99,520,17
LTE,CBI0982,500539,CBI0982-L23,SRIRACHA LANDMARK,23,L23-CBI0982-3B,13.09966,100.95313,90,30,33091,39248,99,520,17
LTE,CBI0248,500262,CBI0248-L23,BANNAICHARK,32,L23-CBI0248-2C,13.09519706,100.9798998,300,30,33091,39050,56,520,17
LTE,CBI0248,500262,CBI0248-L23,BANNAICHARK,33,L23-CBI0248-3C,13.09519706,100.9798998,300,30,33091,39248,56,520,17
LTE,CBI0248,500262,CBI0248-L23,BANNAICHARK,31,L23-CBI0248-1C,13.09519706,100.9798998,300,30,33091,38852,56,520,17
LTE,CBI0982,500539,CBI0982-L23,SRIRACHA LANDMARK,32,L23-CBI0982-2C,13.09966,100.95313,200,30,33091,39050,100,520,17
LTE,CBI0982,500539,CBI0982-L23,SRIRACHA LANDMARK,33,L23-CBI0982-3C,13.09966,100.95313,200,30,33091,39248,100,520,17
LTE,CBI0982,500539,CBI0982-L23,SRIRACHA LANDMARK,31,L23-CBI0982-1C,13.09966,100.95313,200,30,33091,38852,100,520,17
