SYSTEM,SITE,LAT,LON,CELL_NAME,CID,ENBID,DIR,ANT_BW,TAC,EUARFCN,PCI,MCC,MNC
LTE,CBI1294-L23,12.7681,100.9366,L23-CBI1294-2C,32,502485,290,30,33083,39050,336,520,17
LTE,CBI1294-L23,12.7681,100.9366,L23-CBI1294-3C,33,502485,290,30,33083,39248,336,520,17
LTE,CBI1295-L23,13.413206,101.061892,L23-CBI1295-1A,11,502916,55,30,33163,38852,228,520,17
LTE,CBI1295-L23,13.413206,101.061892,L23-CBI1295-2A,12,502916,55,30,33163,39050,228,520,17
LTE,CBI1295-L23,13.413206,101.061892,L23-CBI1295-3A,13,502916,55,30,33163,39248,228,520,17
LTE,CBI1295-L23,13.413206,101.061892,L23-CBI1295-1B,21,502916,125,30,33163,38852,229,520,17
LTE,CBI1295-L23,13.413206,101.061892,L23-CBI1295-2B,22,502916,125,30,33163,39050,229,520,17
LTE,CBI1295-L23,13.41302,101.06177,L23-CBI1295-1C,31,502916,120,30,33163,38852,240,520,17
LTE,CBI1295-L23,13.41302,101.06177,L23-CBI1295-2C,32,502916,120,30,33163,39050,240,520,17
LTE,CBI1295-L23,13.41302,101.06177,L23-CBI1295-3C,33,502916,120,30,33163,39248,240,520,17
LTE,CBI1295-L23,13.41302,101.06177,L23-CBI1295-1D,41,502916,190,30,33163,38852,241,520,17
LTE,CBI1295-L23,13.41302,101.06177,L23-CBI1295-2D,42,502916,190,30,33163,39050,241,520,17
LTE,CBI1295-L23,13.41302,101.06177,L23-CBI1295-3D,43,502916,190,30,33163,39248,241,520,17
LTE,CBI1295-L23,13.41324,101.06129,L23-CBI1295-1E,51,502916,35,30,33163,38852,324,520,17
LTE,CBI1295-L23,13.41324,101.06129,L23-CBI1295-2E,52,502916,35,30,33163,39050,324,520,17
LTE,CBI1295-L23,13.41324,101.06129,L23-CBI1295-3E,53,502916,35,30,33163,39248,324,520,17
LTE,CBI1295-L23,13.41324,101.06129,L23-CBI1295-1F,61,502916,110,30,33163,38852,325,520,17
LTE,CBI1295-L23,13.41324,101.06129,L23-CBI1295-2F,62,502916,110,30,33163,39050,325,520,17
LTE,CBI1295-L23,13.41324,101.06129,L23-CBI1295-3F,63,502916,110,30,33163,39248,325,520,17
