SYSTEM	SITE	ENBID	ENBNAME	SITE_NAME	CID	CELL_NAME	LAT	LON	DIR	ANT_BW	TAC	MCC	MNC	EARFCN	PCI
LTE	BKK1812	303906	BKK1812-L23	GE_CAPITAL_TOWER	13	L23-BKK1812-3A	13.73881	100.54731	360	170	33053	520	17	39248	459
LTE	BKK1812	303906	BKK1812-L23	GE_CAPITAL_TOWER	12	L23-BKK1812-2A	13.73881	100.54731	360	170	33053	520	17	39050	459
LTE	BKK1812	303906	BKK1812-L23	GE_CAPITAL_TOWER	22	L23-BKK1812-2B	13.73881	100.54731	360	170	33053	520	17	39050	437
LTE	BKK1812	303906	BKK1812-L23	GE_CAPITAL_TOWER	23	L23-BKK1812-3B	13.73881	100.54731	360	170	33053	520	17	39248	437
LTE	BKK1812	303906	BKK1812-L23	GE_CAPITAL_TOWER	21	L23-BKK1812-1B	13.73881	100.54731	360	170	33053	520	17	38852	437
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	12	L23-BKK1945-2A	13.72840187	100.5280724	305	30	33022	520	17	39050	307
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	11	L23-BKK1945-1A	13.72840187	100.5280724	305	30	33022	520	17	38852	307
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	13	L23-BKK1945-3A	13.72840187	100.5280724	305	30	33022	520	17	39248	307
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	23	L23-BKK1945-3B	13.72840187	100.5280724	60	30	33022	520	17	39248	308
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	21	L23-BKK1945-1B	13.72840187	100.5280724	60	30	33022	520	17	38852	308
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	22	L23-BKK1945-2B	13.72840187	100.5280724	60	30	33022	520	17	39050	308
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	32	L23-BKK1945-2C	13.72840187	100.5280724	210	30	33022	520	17	39050	309
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	31	L23-BKK1945-1C	13.72840187	100.5280724	210	30	33022	520	17	38852	309
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	33	L23-BKK1945-3C	13.72840187	100.5280724	210	30	33022	520	17	39248	309
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	43	L23-BKK1945-3D	13.72840187	100.5280724	360	30	33022	520	17	39248	457
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	41	L23-BKK1945-1D	13.72840187	100.5280724	360	30	33022	520	17	38852	457
LTE	BKK1945	304105	BKK1945-L23	OCEAN_INSURRANCE	42	L23-BKK1945-2D	13.72840187	100.5280724	360	30	33022	520	17	39050	457
LTE	BKK1471	304710	BKK1471-L23	THAI_CC	21	L23-BKK1471-1B	13.71831054	100.5203976	360	170	33021	520	17	38852	456
LTE	BKK1471	304710	BKK1471-L23	THAI_CC	22	L23-BKK1471-2B	13.71831054	100.5203976	360	170	33021	520	17	39050	456
LTE	BKK3065	304724	BKK3065-L23	EMPIRE_F30_52	13	L23-BKK3065-3A	13.72122947	100.530208	360	170	33023	520	17	39248	493
LTE	BKK7382	305226	BKK7382-L23	SATHON21	22	L23-BKK7382-2B	13.71726	100.51781	120	30	33021	520	17	39050	223
LTE	BKK7382	305226	BKK7382-L23	SATHON21	33	L23-BKK7382-3C	13.71726	100.51781	240	30	33021	520	17	39248	224
LTE	BKK1497	305431	BKK1497-L23	SINDHORN	33	L23-BKK1497-3C	13.73578871	100.5450323	360	170	33051	520	17	39248	492
LTE	BKK1497	305431	BKK1497-L23	SINDHORN	43	L23-BKK1497-3D	13.73578871	100.5450323	360	170	33051	520	17	39248	493
LTE	BKK1572	304716	BKK1572-L23	EMPIRE_TOWER	22	L23-BKK1572-2B	13.721499	100.530143	360	170	33023	520	17	39050	490
LTE	BKK1572	304716	BKK1572-L23	EMPIRE_TOWER	21	L23-BKK1572-1B	13.721499	100.530143	360	170	33023	520	17	38852	490
LTE	BKK1572	304716	BKK1572-L23	EMPIRE_TOWER	42	L23-BKK1572-2D	13.721499	100.530143	360	170	33023	520	17	39050	492
LTE	BKK1572	304716	BKK1572-L23	EMPIRE_TOWER	32	L23-BKK1572-2C	13.721499	100.530143	360	170	33023	520	17	39050	491
LTE	BKK1471	304710	BKK1471-L23	THAI_CC	12	L23-BKK1471-2A	13.71831054	100.5203976	360	170	33021	520	17	39050	449
LTE	BKK1471	304710	BKK1471-L23	THAI_CC	11	L23-BKK1471-1A	13.71831054	100.5203976	360	170	33021	520	17	38852	449
LTE	BKK1368	304706	BKK1368-L23	KASORN_PLAZA	13	L23-BKK1368-3A	13.74521676	100.5407665	360	170	33113	520	17	39248	458
LTE	BKK1368	304706	BKK1368-L23	KASORN_PLAZA	11	L23-BKK1368-1A	13.74521676	100.5407665	360	170	33113	520	17	38852	458
LTE	BKK1368	304706	BKK1368-L23	KASORN_PLAZA	12	L23-BKK1368-2A	13.74521676	100.5407665	360	170	33113	520	17	39050	458
LTE	BKK1368	304706	BKK1368-L23	KASORN_PLAZA	22	L23-BKK1368-2B	13.74521676	100.5407665	360	170	33113	520	17	39050	459
LTE	BKK1368	304706	BKK1368-L23	KASORN_PLAZA	21	L23-BKK1368-1B	13.74521676	100.5407665	360	170	33113	520	17	38852	459
LTE	BKK1368	304706	BKK1368-L23	KASORN_PLAZA	23	L23-BKK1368-3B	13.74521676	100.5407665	360	170	33113	520	17	39248	459
LTE	BKK1471	304710	BKK1471-L23	THAI_CC	13	L23-BKK1471-3A	13.71831054	100.5203976	360	170	33021	520	17	39248	449
LTE	BKK3501	304730	BKK3501-L23	SIVATEL	22	L23-BKK3501-2B	13.74417	100.5478983	360	170	33053	520	17	39050	433
LTE	BKK3501	304730	BKK3501-L23	SIVATEL	21	L23-BKK3501-1B	13.74417	100.5478983	360	170	33053	520	17	38852	433
LTE	BKK3065	304724	BKK3065-L23	EMPIRE_F30_52	43	L23-BKK3065-3D	13.72122947	100.530208	360	170	33023	520	17	39248	496
LTE	BKK3065	304724	BKK3065-L23	EMPIRE_F30_52	42	L23-BKK3065-2D	13.72122947	100.530208	360	170	33023	520	17	39050	496
LTE	BKK3065	304724	BKK3065-L23	EMPIRE_F30_52	41	L23-BKK3065-1D	13.72122947	100.530208	360	170	33023	520	17	38852	496
LTE	BKK3467	304729	BKK3467-L23	SATHORN_GARDEN	11	L23-BKK3467-1A	13.72267501	100.5389458	360	170	33023	520	17	38852	453
LTE	BKK3467	304729	BKK3467-L23	SATHORN_GARDEN	13	L23-BKK3467-3A	13.72267501	100.5389458	360	170	33023	520	17	39248	453
LTE	BKK3467	304729	BKK3467-L23	SATHORN_GARDEN	12	L23-BKK3467-2A	13.72267501	100.5389458	360	170	33023	520	17	39050	453
LTE	BKK3467	304729	BKK3467-L23	SATHORN_GARDEN	22	L23-BKK3467-2B	13.72267501	100.5389458	360	170	33023	520	17	39050	454
LTE	BKK3467	304729	BKK3467-L23	SATHORN_GARDEN	23	L23-BKK3467-3B	13.72267501	100.5389458	360	170	33023	520	17	39248	454
LTE	BKK3467	304729	BKK3467-L23	SATHORN_GARDEN	21	L23-BKK3467-1B	13.72267501	100.5389458	360	170	33023	520	17	38852	454
LTE	BKK3506	304731	BKK3506-L23	MUSE_HOTEL	11	L23-BKK3506-1A	13.737586	100.546587	360	170	33113	520	17	38852	434
LTE	BKK3506	304731	BKK3506-L23	MUSE_HOTEL	12	L23-BKK3506-2A	13.737586	100.546587	360	170	33113	520	17	39050	434
