SYSTEM	SITE	LAT	LON	CELL_NAME	CID	DIR	ANT_BW	LAC	MCC	MNC	EARFCN	PCI
LTE	CBI0406-L23	13.376388	100.995555	L23-CBI0406-1A	11	30	30	33161	520	17	38852                                                       	68
LTE	CBI0955-L23	13.40303	101.11647	L23-CBI0955-2C	32	160	30	33163	520	17	39050                                                       	53
LTE	CBI0662-L23	12.833354	100.90925	L23-CBI0662-3B	23	0	30	33083	520	17	39248                                                       	455
LTE	CBI0359-L23	12.936111	100.883611	L23-CBI0359-2D	42	270	30	33081	520	17	39050                                                       	351
LTE	CBI0109-L23	13.215833	101.046944	L23-CBI0109-2C	32	180	30	33093	520	17	39050                                                       	127
LTE	CBI1269-L23	13.40503	101.20442	L23-CBI1269-1B	21	0	30	33033	520	17	38852                                                       	30
LTE	CBI0157-L23	13.184444	100.989166	L23-CBI0157-1B	21	140	30	33093	520	17	38852                                                       	400
LTE	CBI0711-L23	13.422748	101.18588	L23-CBI0711-3A	13	330	30	33033	520	17	39248                                                       	263
LTE	CBI1252-L23	13.45042	101.059376	L23-CBI1252-3C	33	180	30	33163	520	17	39248                                                       	391
LTE	CBI1166-L23	12.87986	100.89719	L23-CBI1166-3D	43	260	30	33083	520	17	39248                                                       	254
LTE	CBI0037-L23	13.358888	100.979444	L23-CBI0037-2A	12	0	30	33161	520	17	39050                                                       	166
LTE	CBI1344-L23	13.09326	100.91233	L23-CBI1344-1A	11	30	30	33091	520	17	38852                                                       	20
LTE	CBI1344-L23	13.09326	100.91233	L23-CBI1344-3B	23	90	30	33091	520	17	39248                                                       	19
LTE	CBI0314-L23	13.410555	101.059444	L23-CBI0314-1B	21	90	30	33163	520	17	38852                                                       	175
LTE	CBI0320-L23	13.18881355	100.939973	L23-CBI0320-2A	12	9	30	33091	520	17	39050                                                       	53
LTE	CBI0461-L23	13.360999	101.514002	L23-CBI0461-2A	12	320	30	33073	520	17	39050                                                       	256
LTE	CBI1027-L23	13.312222	100.963333	L23-CBI1027-1C	31	230	30	33162	520	17	38852                                                       	263
LTE	CBI0665-L23	12.8767158	100.8855683	L23-CBI0665-2B	22	320	30	33083	520	17	39050                                                       	6
LTE	CBI0550-L23	13.063888	101.033888	L23-CBI0550-3B	23	50	30	33092	520	17	39248                                                       	320
LTE	CBI1343-L23	13.337116	101.0533	L23-CBI1343-3E	53	300	30	33163	520	17	39248                                                       	266
LTE	CBI0844-L23	13.320277	101.297777	L23-CBI0844-1C	31	180	30	33092	520	17	38852                                                       	369
LTE	CBI0922-L23	13.2847	100.92258	L23-CBI0922-3L	123	230	30	33162	520	17	39248                                                       	99
LTE	CBI0928-L23	13.27351	100.927659	L23-CBI0928-1E	51	150	30	33162	520	17	38852                                                       	346
